stride_bytes,run,avg_cycles_per_access
16384,2,213.78
16384,3,216.37
16384,4,200.37
16384,5,204.86
16384,6,215.00
16384,7,208.05
16384,8,216.03
16384,9,234.78
16384,10,210.30
16384,11,220.83
16384,12,215.95
16384,13,214.21
16384,14,206.75
16384,15,202.39
16384,16,208.26
16384,17,217.03
16384,18,206.35
16384,19,232.81
16384,20,218.93
16384,21,216.36
16384,22,206.49
16384,23,208.19
16384,24,215.62
16384,25,207.03
16384,26,200.03
16384,27,214.20
16384,28,247.67
16384,29,212.15
16384,30,216.27
16384,31,216.19
16384,32,210.08
16384,33,214.65
16384,34,200.32
16384,35,208.17
16384,36,215.55
16384,37,223.43
16384,38,172.65
16384,39,206.00
16384,40,213.65
16384,41,223.57
16384,42,242.98
16384,43,221.75
16384,44,213.40
16384,45,216.35
16384,46,225.96
16384,47,217.61
16384,48,220.49
16384,49,216.04
32768,0,264.32
32768,1,265.81
32768,2,295.28
32768,3,273.90
32768,4,281.03
32768,5,268.38
32768,6,281.09
32768,7,271.25
32768,8,315.22
32768,9,265.01
32768,10,208.69
32768,11,270.68
32768,12,265.65
32768,13,257.76
32768,14,252.44
32768,15,255.64
32768,16,281.36
32768,17,259.31
32768,18,265.22
32768,19,313.03
32768,20,275.81
32768,21,257.08
32768,22,265.76
32768,23,257.25
32768,24,261.93
32768,25,265.23
32768,26,270.49
32768,27,254.69
32768,28,259.25
32768,29,270.36
32768,30,264.52
32768,31,256.94
32768,32,266.68
32768,33,256.76
32768,34,282.35
32768,35,264.98
32768,36,263.36
32768,37,279.56
32768,38,229.88
32768,39,258.47
32768,40,265.35
32768,41,257.25
32768,42,265.17
32768,43,257.46
32768,44,269.04
32768,45,265.16
32768,46,290.53
32768,47,264.72
32768,48,253.42
32768,49,272.85
65536,0,262.87
65536,1,268.23
65536,2,281.42
65536,3,266.86
65536,4,251.91
65536,5,275.41
65536,6,266.91
65536,7,266.27
65536,8,276.07
65536,9,265.60
65536,10,265.47
65536,11,268.01
65536,12,305.17
65536,13,262.81
65536,14,281.85
65536,15,299.93
65536,16,263.66
65536,17,318.39
65536,18,291.30
65536,19,269.47
65536,20,269.57
65536,21,266.59
65536,22,266.46
65536,23,306.62
65536,24,269.02
65536,25,266.36
65536,26,271.88
65536,27,258.49
65536,28,243.05
65536,29,266.73
65536,30,284.36
65536,31,266.35
65536,32,266.68
65536,33,269.85
65536,34,267.89
65536,35,266.91
65536,36,298.32
65536,37,236.90
65536,38,266.81
65536,39,267.05
65536,40,251.04
65536,41,268.35
65536,42,298.66
65536,43,272.51
65536,44,266.78
65536,45,267.11
65536,46,302.40
65536,47,266.56
65536,48,301.86
65536,49,267.64
