type,stride,run,cycles_per_access
stride,2,37,9.72
stride,4,37,9.77
stride,8,37,14.08
stride,16,37,20.97
stride,32,37,25.41
stride,64,37,24.25
stride,128,37,24.76
stride,256,37,25.48
stride,512,37,26.39
stride,1024,37,26.63
random,NA,37,26.98
sequential,1,38,9.84
stride,2,38,9.75
stride,4,38,9.80
stride,8,38,13.94
stride,16,38,20.94
stride,32,38,26.08
stride,64,38,23.95
stride,128,38,24.56
stride,256,38,25.30
stride,512,38,26.31
stride,1024,38,25.95
random,NA,38,26.87
sequential,1,39,9.87
stride,2,39,9.73
stride,4,39,9.78
stride,8,39,13.91
stride,16,39,21.08
stride,32,39,25.46
stride,64,39,24.07
stride,128,39,24.69
stride,256,39,25.36
stride,512,39,26.30
stride,1024,39,25.74
random,NA,39,26.77
sequential,1,40,9.87
stride,2,40,9.71
stride,4,40,9.80
stride,8,40,13.77
stride,16,40,20.52
stride,32,40,24.72
stride,64,40,23.74
stride,128,40,24.51
stride,256,40,25.12
stride,512,40,26.44
stride,1024,40,25.74
random,NA,40,26.76
sequential,1,41,9.86
stride,2,41,9.70
stride,4,41,9.79
stride,8,41,13.76
stride,16,41,20.51
stride,32,41,24.69
stride,64,41,23.78
stride,128,41,24.56
stride,256,41,25.16
stride,512,41,26.44
stride,1024,41,25.75
random,NA,41,26.76
sequential,1,42,9.85
stride,2,42,9.69
stride,4,42,9.79
stride,8,42,13.73
stride,16,42,20.51
stride,32,42,24.68
stride,64,42,23.76
stride,128,42,24.47
stride,256,42,25.26
stride,512,42,26.25
stride,1024,42,25.76
random,NA,42,26.75
sequential,1,43,9.85
stride,2,43,9.72
stride,4,43,9.78
stride,8,43,13.76
stride,16,43,20.49
stride,32,43,24.65
stride,64,43,23.83
stride,128,43,24.56
stride,256,43,25.10
stride,512,43,26.49
stride,1024,43,25.68
random,NA,43,26.75
sequential,1,44,9.85
stride,2,44,9.71
stride,4,44,9.78
stride,8,44,13.76
stride,16,44,20.49
stride,32,44,24.71
stride,64,44,23.73
stride,128,44,24.50
stride,256,44,25.22
stride,512,44,26.55
stride,1024,44,25.82
random,NA,44,26.76
sequential,1,45,9.85
stride,2,45,9.71
stride,4,45,9.81
stride,8,45,13.75
stride,16,45,20.53
stride,32,45,24.68
stride,64,45,23.70
stride,128,45,24.52
stride,256,45,25.07
stride,512,45,26.30
stride,1024,45,26.31
random,NA,45,26.76
sequential,1,46,9.86
stride,2,46,9.70
stride,4,46,9.78
stride,8,46,13.74
stride,16,46,20.48
stride,32,46,24.63
stride,64,46,23.74
stride,128,46,24.49
stride,256,46,25.26
stride,512,46,26.27
stride,1024,46,25.67
random,NA,46,26.76
sequential,1,47,9.85
stride,2,47,9.69
stride,4,47,9.78
stride,8,47,13.76
stride,16,47,20.49
stride,32,47,24.62
stride,64,47,23.72
stride,128,47,24.54
stride,256,47,25.29
stride,512,47,26.27
stride,1024,47,25.69
random,NA,47,26.75
sequential,1,48,9.86
stride,2,48,9.69
stride,4,48,9.78
stride,8,48,13.76
stride,16,48,20.52
stride,32,48,24.66
stride,64,48,23.80
stride,128,48,24.57
stride,256,48,25.27
stride,512,48,26.51
stride,1024,48,25.75
random,NA,48,26.77
sequential,1,49,9.84
stride,2,49,9.68
stride,4,49,9.78
stride,8,49,13.74
stride,16,49,20.49
stride,32,49,24.70
stride,64,49,23.68
stride,128,49,24.58
stride,256,49,25.25
stride,512,49,26.25
stride,1024,49,25.79
random,NA,49,26.75
sequential,1,50,9.85
stride,2,50,9.71
stride,4,50,9.78
stride,8,50,13.75
stride,16,50,20.44
stride,32,50,24.62
stride,64,50,23.82
stride,128,50,24.55
stride,256,50,25.12
stride,512,50,26.52
stride,1024,50,25.79
random,NA,50,26.76
sequential,1,51,9.84
stride,2,51,9.71
stride,4,51,9.78
stride,8,51,13.75
stride,16,51,20.51
stride,32,51,24.61
stride,64,51,23.73
stride,128,51,24.54
stride,256,51,25.26
stride,512,51,26.20
stride,1024,51,25.68
random,NA,51,26.75
sequential,1,52,9.86
stride,2,52,9.69
stride,4,52,9.79
stride,8,52,13.76
stride,16,52,20.52
stride,32,52,24.68
stride,64,52,23.77
stride,128,52,24.53
stride,256,52,25.09
stride,512,52,26.21
stride,1024,52,26.27
random,NA,52,26.76
sequential,1,53,9.85
stride,2,53,9.68
stride,4,53,9.77
stride,8,53,13.75
stride,16,53,20.50
stride,32,53,24.67
stride,64,53,23.85
stride,128,53,24.52
stride,256,53,25.09
stride,512,53,26.45
stride,1024,53,26.42
random,NA,53,26.77
sequential,1,54,9.85
stride,2,54,9.68
stride,4,54,9.78
stride,8,54,13.75
stride,16,54,20.51
stride,32,54,24.66
stride,64,54,23.82
stride,128,54,24.57
stride,256,54,25.22
stride,512,54,26.55
stride,1024,54,25.72
random,NA,54,26.76
sequential,1,55,9.85
stride,2,55,9.70
stride,4,55,9.78
stride,8,55,13.75
stride,16,55,20.50
stride,32,55,24.69
stride,64,55,23.81
stride,128,55,24.53
stride,256,55,25.23
stride,512,55,26.29
stride,1024,55,26.09
random,NA,55,26.75
sequential,1,56,9.84
stride,2,56,9.69
stride,4,56,9.78
stride,8,56,13.74
stride,16,56,20.50
stride,32,56,24.63
stride,64,56,23.76
stride,128,56,24.55
stride,256,56,25.21
stride,512,56,26.29
stride,1024,56,25.69
random,NA,56,26.75
sequential,1,57,9.85
stride,2,57,9.68
stride,4,57,9.79
stride,8,57,13.74
stride,16,57,20.51
stride,32,57,24.68
stride,64,57,23.74
stride,128,57,24.48
stride,256,57,25.07
stride,512,57,26.28
stride,1024,57,26.25
random,NA,57,26.77
sequential,1,58,9.85
stride,2,58,9.69
stride,4,58,9.79
stride,8,58,13.76
stride,16,58,20.50
stride,32,58,24.62
stride,64,58,23.75
stride,128,58,24.58
stride,256,58,25.17
stride,512,58,26.51
stride,1024,58,25.94
random,NA,58,26.74
sequential,1,59,9.86
stride,2,59,9.69
stride,4,59,9.77
stride,8,59,13.72
stride,16,59,20.50
stride,32,59,24.64
stride,64,59,23.74
stride,128,59,24.55
stride,256,59,25.13
stride,512,59,26.23
stride,1024,59,26.12
random,NA,59,26.76
sequential,1,60,9.85
stride,2,60,9.69
stride,4,60,9.78
stride,8,60,13.75
stride,16,60,20.48
stride,32,60,24.66
stride,64,60,23.73
stride,128,60,24.53
stride,256,60,25.21
stride,512,60,26.20
stride,1024,60,25.61
random,NA,60,26.75
sequential,1,61,9.85
stride,2,61,9.71
stride,4,61,9.78
stride,8,61,13.77
stride,16,61,20.49
stride,32,61,24.69
stride,64,61,23.72
stride,128,61,24.55
stride,256,61,25.34
stride,512,61,26.26
stride,1024,61,25.74
random,NA,61,26.75
sequential,1,62,9.85
stride,2,62,9.70
stride,4,62,9.77
stride,8,62,13.76
stride,16,62,20.50
stride,32,62,24.63
stride,64,62,23.70
stride,128,62,24.58
stride,256,62,25.33
stride,512,62,26.24
stride,1024,62,25.73
random,NA,62,26.77
sequential,1,63,9.86
stride,2,63,9.69
stride,4,63,9.77
stride,8,63,13.74
stride,16,63,20.52
stride,32,63,24.69
stride,64,63,23.79
stride,128,63,24.52
stride,256,63,25.12
stride,512,63,26.47
stride,1024,63,25.83
random,NA,63,26.75
sequential,1,64,9.86
stride,2,64,9.71
stride,4,64,9.78
stride,8,64,13.76
stride,16,64,20.48
stride,32,64,24.64
stride,64,64,23.70
stride,128,64,24.59
stride,256,64,25.29
stride,512,64,26.26
stride,1024,64,25.74
random,NA,64,26.75
sequential,1,65,9.85
stride,2,65,9.69
stride,4,65,9.79
stride,8,65,13.75
stride,16,65,20.51
stride,32,65,24.67
stride,64,65,23.78
stride,128,65,24.56
stride,256,65,25.27
stride,512,65,26.30
stride,1024,65,25.59
random,NA,65,26.75
sequential,1,66,9.84
stride,2,66,9.71
stride,4,66,9.79
stride,8,66,13.76
stride,16,66,20.49
stride,32,66,24.66
stride,64,66,23.76
stride,128,66,24.54
stride,256,66,25.11
stride,512,66,26.34
stride,1024,66,26.32
random,NA,66,26.76
sequential,1,67,9.85
stride,2,67,9.69
stride,4,67,9.77
stride,8,67,13.76
stride,16,67,20.61
stride,32,67,24.66
stride,64,67,23.74
stride,128,67,24.53
stride,256,67,25.26
stride,512,67,26.24
stride,1024,67,25.70
random,NA,67,26.75
sequential,1,68,9.86
stride,2,68,9.72
stride,4,68,9.78
stride,8,68,13.75
stride,16,68,20.51
stride,32,68,24.63
stride,64,68,23.72
stride,128,68,24.55
stride,256,68,25.25
stride,512,68,26.33
stride,1024,68,25.67
random,NA,68,26.75
sequential,1,69,9.83
stride,2,69,9.71
stride,4,69,9.78
stride,8,69,13.73
stride,16,69,20.50
stride,32,69,24.69
stride,64,69,23.76
stride,128,69,24.52
stride,256,69,25.30
stride,512,69,26.22
stride,1024,69,25.74
random,NA,69,26.75
sequential,1,70,9.86
stride,2,70,9.69
stride,4,70,9.78
stride,8,70,13.76
stride,16,70,20.51
stride,32,70,24.65
stride,64,70,23.78
stride,128,70,24.51
stride,256,70,25.22
stride,512,70,26.35
stride,1024,70,25.80
random,NA,70,26.76
sequential,1,71,9.85
stride,2,71,9.71
stride,4,71,9.79
stride,8,71,13.77
stride,16,71,20.51
stride,32,71,24.64
stride,64,71,23.86
stride,128,71,24.51
stride,256,71,25.28
stride,512,71,26.28
stride,1024,71,25.69
random,NA,71,26.76
sequential,1,72,9.86
stride,2,72,9.69
stride,4,72,9.77
stride,8,72,13.78
stride,16,72,20.49
stride,32,72,24.67
stride,64,72,23.75
stride,128,72,24.54
stride,256,72,25.10
stride,512,72,26.26
stride,1024,72,26.17
random,NA,72,26.74
sequential,1,73,9.86
stride,2,73,9.70
stride,4,73,9.78
stride,8,73,13.75
stride,16,73,20.49
stride,32,73,24.66
stride,64,73,23.71
stride,128,73,24.51
stride,256,73,25.24
stride,512,73,26.31
stride,1024,73,25.72
random,NA,73,26.76
sequential,1,74,9.85
stride,2,74,9.69
stride,4,74,9.78
stride,8,74,13.76
stride,16,74,20.51
stride,32,74,24.76
stride,64,74,23.75
stride,128,74,24.56
stride,256,74,25.17
stride,512,74,26.61
stride,1024,74,25.71
random,NA,74,26.75
sequential,1,75,9.86
stride,2,75,9.69
stride,4,75,9.78
stride,8,75,13.73
stride,16,75,20.52
stride,32,75,24.70
stride,64,75,23.82
stride,128,75,24.54
stride,256,75,25.24
stride,512,75,26.49
stride,1024,75,25.74
random,NA,75,27.30
sequential,1,76,9.82
stride,2,76,9.70
stride,4,76,9.79
stride,8,76,13.75
stride,16,76,20.50
stride,32,76,24.67
stride,64,76,23.76
stride,128,76,24.52
stride,256,76,25.09
stride,512,76,26.20
stride,1024,76,25.75
random,NA,76,27.16
sequential,1,77,9.85
stride,2,77,9.70
stride,4,77,9.80
stride,8,77,13.74
stride,16,77,20.50
stride,32,77,24.64
stride,64,77,23.77
stride,128,77,24.51
stride,256,77,25.28
stride,512,77,26.26
stride,1024,77,25.89
random,NA,77,26.76
sequential,1,78,9.86
stride,2,78,9.68
stride,4,78,9.79
stride,8,78,13.75
stride,16,78,20.49
stride,32,78,24.69
stride,64,78,23.79
stride,128,78,24.52
stride,256,78,25.12
stride,512,78,26.43
stride,1024,78,25.69
random,NA,78,26.75
sequential,1,79,9.85
stride,2,79,9.70
stride,4,79,9.77
stride,8,79,13.76
stride,16,79,20.49
stride,32,79,24.66
stride,64,79,23.80
stride,128,79,24.56
stride,256,79,25.24
stride,512,79,26.56
stride,1024,79,26.05
random,NA,79,26.75
sequential,1,80,9.85
stride,2,80,9.71
stride,4,80,9.78
stride,8,80,13.73
stride,16,80,20.52
stride,32,80,24.64
stride,64,80,23.77
stride,128,80,24.53
stride,256,80,25.07
stride,512,80,26.32
stride,1024,80,26.20
random,NA,80,26.75
sequential,1,81,9.85
stride,2,81,9.71
stride,4,81,9.78
stride,8,81,13.81
stride,16,81,20.47
stride,32,81,24.67
stride,64,81,23.74
stride,128,81,24.47
stride,256,81,25.29
stride,512,81,26.22
stride,1024,81,26.13
random,NA,81,26.75
sequential,1,82,9.86
stride,2,82,9.70
stride,4,82,9.78
stride,8,82,13.76
stride,16,82,20.50
stride,32,82,24.66
stride,64,82,23.78
stride,128,82,24.56
stride,256,82,25.11
stride,512,82,26.27
stride,1024,82,26.17
random,NA,82,26.76
sequential,1,83,9.86
stride,2,83,9.71
stride,4,83,9.78
stride,8,83,13.74
stride,16,83,20.50
stride,32,83,24.75
stride,64,83,23.69
stride,128,83,24.58
stride,256,83,25.24
stride,512,83,26.22
stride,1024,83,25.81
random,NA,83,26.75
sequential,1,84,9.86
stride,2,84,9.70
stride,4,84,9.78
stride,8,84,13.74
stride,16,84,20.49
stride,32,84,24.69
stride,64,84,23.82
stride,128,84,24.71
stride,256,84,25.08
stride,512,84,26.25
stride,1024,84,25.82
random,NA,84,26.76
sequential,1,85,9.85
stride,2,85,9.69
stride,4,85,9.79
stride,8,85,13.75
stride,16,85,20.49
stride,32,85,24.64
stride,64,85,23.82
stride,128,85,24.53
stride,256,85,25.15
stride,512,85,26.26
stride,1024,85,25.79
random,NA,85,26.76
sequential,1,86,9.86
stride,2,86,9.70
stride,4,86,9.78
stride,8,86,13.73
stride,16,86,20.49
stride,32,86,24.61
stride,64,86,23.81
stride,128,86,24.53
stride,256,86,25.11
stride,512,86,26.27
stride,1024,86,26.24
random,NA,86,26.76
sequential,1,87,9.85
stride,2,87,9.69
