run,latency_cycles
155,4.642631
156,4.442705
157,4.650713
158,5.444762
159,4.650539
160,4.641884
161,4.639268
162,5.644628
163,4.649078
164,4.632507
165,4.641493
166,4.845267
167,4.648658
168,5.443452
169,-1.299330
170,-2.172348
171,-2.157160
172,-2.955302
173,-2.155066
174,-2.555472
175,-2.154856
176,-2.157046
177,-2.357552
178,-2.362078
179,-2.360272
180,-2.357549
181,-2.359642
182,-2.361066
183,-2.357422
184,-2.367284
185,-2.360202
186,-2.361221
187,-2.365504
188,-2.364179
189,-2.366696
190,1.254524
191,3.498917
192,4.861914
193,5.641561
194,3.858028
195,4.645092
196,5.437460
197,4.630953
198,4.643971
199,4.639684
200,4.841571
201,4.639247
202,5.647459
203,4.646479
204,4.643050
205,4.648933
206,4.836570
207,4.645290
208,5.648658
209,4.648899
210,5.052523
211,4.651430
212,4.641257
213,4.643926
214,5.440501
215,4.643361
216,4.638416
217,4.637050
218,5.640700
219,4.634599
220,4.630182
221,4.634309
222,4.839924
223,4.657099
224,5.444967
225,4.652182
226,4.643052
227,4.641124
228,5.647150
229,4.705572
230,4.646441
231,4.638599
232,5.238776
233,4.637409
234,4.638245
235,4.639109
236,5.657771
237,4.643313
238,4.650565
239,4.642620
240,4.843338
241,4.641504
242,5.436330
243,4.661274
244,4.644087
245,4.653093
246,5.647186
247,4.642274
248,4.649420
249,4.849166
250,4.632440
251,5.449072
252,4.647960
253,4.642419
254,4.642913
255,5.643175
256,4.638455
257,4.641528
258,4.659188
259,4.841210
260,4.647145
261,5.446197
262,4.642262
263,4.642361
264,4.646890
265,6.241648
266,4.850482
267,4.644967
268,4.646439
269,6.254056
270,4.643795
271,4.838817
272,4.640340
273,5.436367
274,4.640026
275,4.644258
276,4.831989
277,5.441372
278,4.645822
279,4.636467
280,4.644989
281,4.836477
282,5.443324
283,4.648637
284,3.990676
285,5.435668
286,4.640618
287,4.638153
288,4.645060
289,4.843077
290,4.846302
291,4.849890
292,4.841307
293,4.846977
294,4.841533
295,4.845186
296,5.434433
297,4.643445
298,4.645179
299,4.641422
300,4.845033
301,5.446636
302,4.692649
303,4.639242
304,4.836451
305,5.437680
306,4.634916
307,4.845365
308,4.643203
309,4.837131
310,4.650856
311,4.837744
312,5.447421
313,4.645313
314,4.642761
315,4.643149
316,5.238228
317,5.446584
318,4.850849
319,4.638343
320,4.641152
321,4.844357
322,5.441322
323,4.842009
324,4.633808
325,4.650133
326,4.639084
327,5.444986
328,4.850689
329,4.643212
330,4.648196
331,4.646264
332,5.438827
333,4.853020
334,4.648807
335,4.634072
336,5.441707
337,4.639818
338,4.837448
339,4.654476
340,3.687114
341,4.838712
342,5.435116
343,4.641537
344,4.639383
345,4.850398
346,4.844251
347,4.641872
348,4.850386
