type,stride,run,cycles_per_access
stride,2,45,6.58
stride,4,45,7.43
stride,8,45,10.03
stride,16,45,17.81
stride,32,45,18.45
stride,64,45,18.38
stride,128,45,18.36
stride,256,45,18.33
stride,512,45,18.19
stride,1024,45,18.61
random,NA,45,19.34
sequential,1,46,6.20
stride,2,46,6.58
stride,4,46,7.41
stride,8,46,10.02
stride,16,46,17.81
stride,32,46,18.39
stride,64,46,18.38
stride,128,46,18.43
stride,256,46,18.35
stride,512,46,18.28
stride,1024,46,18.72
random,NA,46,19.37
sequential,1,47,6.23
stride,2,47,6.58
stride,4,47,7.41
stride,8,47,10.03
stride,16,47,17.82
stride,32,47,18.44
stride,64,47,18.40
stride,128,47,18.37
stride,256,47,18.35
stride,512,47,18.43
stride,1024,47,18.52
random,NA,47,19.30
sequential,1,48,6.23
stride,2,48,6.57
stride,4,48,7.41
stride,8,48,10.03
stride,16,48,17.83
stride,32,48,18.44
stride,64,48,18.45
stride,128,48,18.39
stride,256,48,18.39
stride,512,48,18.27
stride,1024,48,18.67
random,NA,48,19.30
sequential,1,49,6.21
stride,2,49,6.58
stride,4,49,7.41
stride,8,49,10.03
stride,16,49,17.76
stride,32,49,18.34
stride,64,49,18.41
stride,128,49,18.35
stride,256,49,18.32
stride,512,49,18.26
stride,1024,49,18.59
random,NA,49,19.27
sequential,1,50,6.22
stride,2,50,6.59
stride,4,50,7.42
stride,8,50,10.04
stride,16,50,17.83
stride,32,50,18.40
stride,64,50,18.74
stride,128,50,18.40
stride,256,50,18.43
stride,512,50,18.19
stride,1024,50,18.36
random,NA,50,19.28
sequential,1,51,6.26
stride,2,51,6.59
stride,4,51,7.43
stride,8,51,10.03
stride,16,51,17.84
stride,32,51,18.37
stride,64,51,18.49
stride,128,51,18.42
stride,256,51,18.35
stride,512,51,18.26
stride,1024,51,18.49
random,NA,51,19.29
sequential,1,52,6.20
stride,2,52,6.57
stride,4,52,7.42
stride,8,52,10.04
stride,16,52,17.80
stride,32,52,18.47
stride,64,52,18.43
stride,128,52,18.40
stride,256,52,18.35
stride,512,52,18.31
stride,1024,52,18.71
random,NA,52,19.30
sequential,1,53,6.21
stride,2,53,6.58
stride,4,53,7.42
stride,8,53,10.04
stride,16,53,17.82
stride,32,53,18.39
stride,64,53,18.41
stride,128,53,18.43
stride,256,53,18.35
stride,512,53,18.25
stride,1024,53,18.58
random,NA,53,19.36
sequential,1,54,6.21
stride,2,54,6.58
stride,4,54,7.42
stride,8,54,10.02
stride,16,54,17.79
stride,32,54,18.34
stride,64,54,18.39
stride,128,54,18.40
stride,256,54,18.48
stride,512,54,18.18
stride,1024,54,18.48
random,NA,54,19.33
sequential,1,55,6.20
stride,2,55,6.58
stride,4,55,7.42
stride,8,55,10.04
stride,16,55,17.83
stride,32,55,18.39
stride,64,55,18.54
stride,128,55,18.39
stride,256,55,18.23
stride,512,55,18.32
stride,1024,55,18.54
random,NA,55,19.37
sequential,1,56,6.20
stride,2,56,6.58
stride,4,56,9.43
stride,8,56,10.05
stride,16,56,17.84
stride,32,56,18.45
stride,64,56,18.39
stride,128,56,18.39
stride,256,56,18.41
stride,512,56,18.30
stride,1024,56,18.75
random,NA,56,19.28
sequential,1,57,6.21
stride,2,57,6.58
stride,4,57,7.42
stride,8,57,10.03
stride,16,57,17.84
stride,32,57,18.44
stride,64,57,18.37
stride,128,57,18.36
stride,256,57,18.36
stride,512,57,18.30
stride,1024,57,18.66
random,NA,57,19.28
sequential,1,58,6.20
stride,2,58,6.58
stride,4,58,7.41
stride,8,58,10.05
stride,16,58,17.82
stride,32,58,18.46
stride,64,58,18.38
stride,128,58,18.40
stride,256,58,18.40
stride,512,58,27.66
stride,1024,58,18.45
random,NA,58,19.28
sequential,1,59,6.21
stride,2,59,6.58
stride,4,59,7.42
stride,8,59,10.06
stride,16,59,17.79
stride,32,59,18.39
stride,64,59,18.40
stride,128,59,18.37
stride,256,59,18.42
stride,512,59,18.35
stride,1024,59,18.41
random,NA,59,19.28
sequential,1,60,6.21
stride,2,60,6.58
stride,4,60,7.42
stride,8,60,10.04
stride,16,60,17.81
stride,32,60,18.44
stride,64,60,18.36
stride,128,60,18.46
stride,256,60,18.41
stride,512,60,18.30
stride,1024,60,18.42
random,NA,60,19.28
sequential,1,61,6.21
stride,2,61,6.58
stride,4,61,7.41
stride,8,61,10.04
stride,16,61,17.87
stride,32,61,18.40
stride,64,61,18.52
stride,128,61,18.43
stride,256,61,18.31
stride,512,61,18.27
stride,1024,61,18.42
random,NA,61,19.28
sequential,1,62,6.20
stride,2,62,6.59
stride,4,62,7.41
stride,8,62,10.03
stride,16,62,17.83
stride,32,62,18.41
stride,64,62,18.45
stride,128,62,18.44
stride,256,62,18.45
stride,512,62,18.26
stride,1024,62,18.45
random,NA,62,19.29
sequential,1,63,6.20
stride,2,63,6.57
stride,4,63,7.41
stride,8,63,10.03
stride,16,63,17.83
stride,32,63,18.41
stride,64,63,18.45
stride,128,63,19.09
stride,256,63,18.39
stride,512,63,18.45
stride,1024,63,18.77
random,NA,63,19.30
sequential,1,64,6.25
stride,2,64,6.57
stride,4,64,7.41
stride,8,64,10.04
stride,16,64,17.74
stride,32,64,18.32
stride,64,64,18.46
stride,128,64,18.34
stride,256,64,18.41
stride,512,64,18.51
stride,1024,64,18.62
random,NA,64,19.36
sequential,1,65,6.20
stride,2,65,6.58
stride,4,65,7.42
stride,8,65,10.03
stride,16,65,17.80
stride,32,65,18.36
stride,64,65,18.39
stride,128,65,18.39
stride,256,65,18.29
stride,512,65,18.19
stride,1024,65,18.49
random,NA,65,19.36
sequential,1,66,6.21
stride,2,66,6.58
stride,4,66,7.42
stride,8,66,10.03
stride,16,66,17.73
stride,32,66,18.36
stride,64,66,18.40
stride,128,66,18.32
stride,256,66,18.32
stride,512,66,18.28
stride,1024,66,18.42
random,NA,66,19.29
sequential,1,67,6.21
stride,2,67,6.58
stride,4,67,7.42
stride,8,67,10.04
stride,16,67,17.79
stride,32,67,18.41
stride,64,67,18.39
stride,128,67,18.38
stride,256,67,18.27
stride,512,67,18.48
stride,1024,67,18.60
random,NA,67,19.35
sequential,1,68,6.20
stride,2,68,6.58
stride,4,68,7.41
stride,8,68,10.04
stride,16,68,17.74
stride,32,68,18.35
stride,64,68,18.36
stride,128,68,18.48
stride,256,68,18.37
stride,512,68,18.22
stride,1024,68,18.62
random,NA,68,19.30
sequential,1,69,6.20
stride,2,69,6.57
stride,4,69,7.42
stride,8,69,10.03
stride,16,69,17.79
stride,32,69,18.36
stride,64,69,18.39
stride,128,69,18.37
stride,256,69,18.28
stride,512,69,18.38
stride,1024,69,18.49
random,NA,69,19.31
sequential,1,70,6.20
stride,2,70,6.58
stride,4,70,7.42
stride,8,70,10.01
stride,16,70,17.80
stride,32,70,18.36
stride,64,70,18.43
stride,128,70,18.40
stride,256,70,18.44
stride,512,70,18.23
stride,1024,70,18.43
random,NA,70,19.81
sequential,1,71,6.20
stride,2,71,6.58
stride,4,71,7.41
stride,8,71,10.06
stride,16,71,18.52
stride,32,71,18.31
stride,64,71,18.37
stride,128,71,18.32
stride,256,71,18.25
stride,512,71,18.15
stride,1024,71,18.41
random,NA,71,19.28
sequential,1,72,6.21
stride,2,72,6.59
stride,4,72,7.42
stride,8,72,10.03
stride,16,72,17.80
stride,32,72,18.35
stride,64,72,18.37
stride,128,72,18.40
stride,256,72,18.38
stride,512,72,18.47
stride,1024,72,18.45
random,NA,72,19.29
sequential,1,73,6.21
stride,2,73,6.59
stride,4,73,7.41
stride,8,73,10.06
stride,16,73,17.83
stride,32,73,18.39
