run,initial_hit_time,probe_after_evict_time
813,52,984
814,50,980
815,54,1498
816,52,1574
817,50,1422
818,52,910
819,52,1094
820,52,996
821,52,904
822,54,966
823,52,1002
824,52,922
825,50,850
826,54,1046
827,52,1000
828,50,1076
829,54,1204
830,54,1096
831,52,906
832,52,1124
833,52,976
834,50,984
835,54,966
836,52,1000
837,50,850
838,52,1066
839,52,976
840,54,914
841,52,970
842,52,982
843,50,992
844,52,988
845,52,742
846,56,742
847,52,752
848,50,822
849,52,802
850,54,804
851,50,818
852,56,674
853,54,836
854,52,740
855,56,734
856,56,828
857,50,802
858,48,636
859,54,1492
860,50,982
861,54,994
862,52,1066
863,52,920
864,50,984
865,54,1068
866,52,1028
867,52,896
868,50,990
869,50,978
870,52,982
871,56,900
872,50,908
873,50,1006
874,52,978
875,54,986
876,56,992
877,54,978
878,54,982
879,52,1072
880,50,746
881,56,756
882,52,812
883,52,902
884,54,818
885,54,744
886,54,740
887,52,582
888,52,748
889,54,1704
890,52,984
891,52,982
892,54,992
893,54,988
894,52,914
895,52,918
896,54,966
897,54,974
898,52,988
899,52,1072
900,54,896
901,52,1100
902,52,730
903,52,740
904,52,724
905,50,724
906,50,824
907,52,812
908,52,726
909,56,728
910,52,724
911,52,930
912,52,812
913,52,814
914,54,676
915,52,748
916,52,750
917,52,760
918,52,806
919,52,728
920,54,660
921,52,900
922,52,734
923,54,1476
924,54,1178
925,54,896
926,54,974
927,54,990
928,54,984
929,50,896
930,50,978
931,52,978
932,58,890
933,52,970
934,52,1106
935,50,984
936,58,976
937,52,984
938,52,818
939,48,916
940,54,902
941,52,1060
942,52,902
943,50,666
944,54,1546
945,48,1496
946,52,830
947,52,1000
948,54,970
949,52,910
950,52,1058
951,52,896
952,48,990
953,50,692
954,52,974
955,50,1050
956,52,910
957,54,974
958,52,678
959,52,970
960,50,980
961,54,1026
962,52,904
963,52,918
964,50,906
965,58,1078
966,52,978
967,52,1066
968,50,986
969,54,1410
970,52,1428
971,52,1010
972,50,1088
973,54,968
974,54,970
975,50,814
976,50,1046
977,54,980
978,50,1360
979,54,966
980,52,838
981,52,916
982,54,988
983,50,910
984,52,974
985,50,826
986,54,1072
987,52,906
988,52,802
989,56,904
990,54,1074
991,50,1420
992,52,962
993,50,908
994,52,898
995,52,962
996,52,970
997,52,988
998,50,846
999,52,896
1000,54,984
1001,52,1176
1002,50,984
1003,52,908
1004,52,1040
1005,56,1012
1006,52,834
1007,52,900
1008,54,816
1009,54,894
1010,52,810
1011,54,800
1012,52,988
1013,52,1042
1014,52,750
1015,52,886
1016,52,1450
1017,54,1060
1018,54,978
1019,52,968
1020,52,898
1021,54,978
1022,52,968
1023,54,980
1024,52,902
1025,54,984
1026,52,914
1027,52,1008
1028,52,976
1029,50,980
1030,56,980
1031,52,978
1032,52,980
1033,52,1090
1034,54,972
1035,52,912
1036,52,992
1037,54,910
1038,52,1470
1039,54,992
1040,52,928
1041,52,988
1042,54,974
1043,52,930
1044,48,998
